ProductoID,TipoProducto,CategoriaProducto,Marca,ModeloNombre,PrecioLista
1001,Maquinaria,Tractor, AGROMETAL ,Modelo X,3.784.347
1002,Maquinaria,Sembradora,Agrometal,Modelo A300,2858895
1003,Maquinaria,Cosechadora, JOHN DEERE ,Modelo P100,1879022
1004,Maquinaria,Cosechadora, METALFOR ,Serie 6J   ,5.513.654
1005,Maquinaria,Sembradora, METALFOR ,Modelo P100,4.352.979
1006,Maquinaria,Sembradora,Agrometal,Modelo X,3390702
1007,Maquinaria,Tracotr,PLA,Modelo P100   ,$2376482
1008,Maquinaria,Sembradora,John Deere,Modelo A300   ,3398954
1009,Maquinaria,Implemento,Metalfor,Serie 5E,
1010,Maquinaria,Cosechadora,Metalfor,Modelo P100,$2123044
1011,Maquinaria,Pulverizadora,John Deere,Modelo A300,5277845
1012,Maquinaria,motor,Metalfor,Modelo X,1917397
1013,Maquinaria,Sembradora,PLA,Serie 6J,$4213159
1014,Maquinaria,Tracotr,Agrometal,Modelo X,3815067
1015,Maquinaria,Tracotr, METALFOR ,Modelo P100,1.874.963
1016,Maquinaria,Implemento, PLA ,Modelo A300,2707839
1017,Maquinaria,Cosechadora,PLA,Serie 5E,
1018,Maquinaria,Pulverizadora,Agrometal,Modelo A300,$4131044
1019,Maquinaria,Tracotr,Metalfor,Modelo A300   ,3.411.827
1020,Maquinaria,Pulverizadora,John Deere,Modelo A300,1605716
1021,Maquinaria,Cosechadora,Agrometal,Modelo P100   ,4403471
1022,Maquinaria,Tractor,Metalfor,Modelo P100,$2133242
1023,Maquinaria,Sembradora,Metalfor,Modelo A300   ,4220715
1024,Maquinaria,Pulverizadora, METALFOR ,Modelo P100,2698833
1025,Maquinaria,Hidrualico,PLA,Serie 5E,
1026,Maquinaria,Sembradora,John Deere,Serie 5E,5.466.875
1027,Maquinaria,Sembradora,John Deere,Serie 5E,2224707
1028,Maquinaria,Cosechadora, AGROMETAL ,Serie 6J,4.858.203
1029,Maquinaria,Sembradora,Metalfor,Modelo A300,$4536911
1030,Maquinaria,Tractor,PLA,Modelo A300,$3884159
1031,Maquinaria,Tractor,Metalfor,Modelo X,1599402
1032,Maquinaria,Pulverizadora,Metalfor,Modelo X,$2596374
1033,Maquinaria,Tractor,Agrometal,Modelo X,$3284789
1034,Maquinaria,Implemento,Metalfor,Serie 6J,5836109
1035,Maquinaria,motor, AGROMETAL ,Modelo A300   ,$1779711
1036,Maquinaria,Implemento, PLA ,Serie 5E,5100718
1037,Maquinaria,Tractor,Agrometal,Serie 5E   ,3.354.501
1038,Maquinaria,Pulverizadora,Metalfor,Serie 5E,3.857.015
1039,Maquinaria,Pulverizadora,PLA,Serie 6J,3626732
1040,Maquinaria,Sembradora,PLA,Serie 6J   ,$3675848
1041,Maquinaria,Cosechadora, JOHN DEERE ,Modelo P100,
1042,Maquinaria,Cosechadora, AGROMETAL ,Serie 5E   ,$1730975
1043,Maquinaria,Sembradora,PLA,Modelo P100,3.112.712
1044,Maquinaria, , JOHN DEERE ,Serie 6J   ,3.357.055
1045,Maquinaria,Pulverizadora,Metalfor,Serie 5E,5.815.793
1046,Maquinaria,Cosechadora,Metalfor,Serie 6J,2592183
1047,Maquinaria,Implemento,PLA,Serie 6J,3572371
